章节或编码,中文名称
1A00,霍乱
1A01,其他弧菌的肠道感染
1A02,志贺菌肠道感染
1A03.0,肠致病性大肠埃希菌感染
1A03.1,产肠毒素性大肠埃希菌感染
1A03.2,肠侵袭性大肠埃希菌感染
1A03.3,肠出血性大肠埃希菌感染
1A03.Y,其他特指的大肠埃希菌肠道感染
1A03.Z,大肠埃希菌肠道感染，未特指的
1A04,难辨梭状芽孢杆菌小肠结肠炎
1A05,小肠结肠耶尓森菌肠道感染
1A06,耶尓森菌肠炎
1A07.0,伤寒并发腹膜炎
1A07.Y,其他特指的伤寒
1A07.Z,伤寒，未特指的
1A08,副伤寒
1A09,其他沙门菌感染
1A0Y,其他特指的细菌性肠道感染
1A0Z,细菌性肠道感染，未特指的
1A10,葡萄球菌食物中毒
1A11.0,肉毒毒素食源性中毒
1A11.1,其他形式的肉毒中毒
1A11.Z,肉毒中毒，未特指的
1A12,产气荚膜梭状芽孢杆菌食物中毒
1A13,蜡样芽孢杆菌食物中毒
1A1Y,其他特指的细菌性食物中毒
1A1Z,细菌性食物中毒，未特指的
1A20,腺病毒性肠炎
1A21,星状病毒肠炎
1A22,轮状病毒胃肠炎
1A23,诺如病毒肠炎
1A24,巨细胞病毒性肠道感染
1A2Y,其他特指的病毒性肠道感染
1A2Z,病毒性肠道感染，未特指的
1A30,结肠小袋纤毛虫感染
1A31,贾第虫病
1A32,隐孢子虫病
1A33.0,小肠等孢球虫病
1A33.1,结肠等孢球虫病
1A33.Y,其他特指的等孢球虫病
1A33.Z,等球孢虫病，未特指的
1A34,肉孢子虫病
1A35,人芽囊原虫病
1A36.00,急性阿米巴病
1A36.01,肠阿米巴瘤
1A36.0Z,溶组织内阿米巴肠道感染，未特指的
1A36.10,阿米巴肝脓肿
1A36.11,阿米巴肺脓肿
1A36.12,皮肤阿米巴病
1A36.1Y,其他特指部位的阿米巴病
1A36.Z,阿米巴病，未特指的
1A3Y,其他特指的肠道原虫感染
1A3Z,肠道原虫感染，未特指的
1A40.0,未特指病因的胃肠炎或结肠炎
1A40.Z,未特指感染性病原体的感染性胃肠炎或结肠炎
1A60.0,早期先天性梅毒，有症状
1A60.1,早期先天性梅毒，潜伏性
1A60.2,晚期先天性梅毒眼病
1A60.3,晚期先天性神经梅毒
1A60.4,晚期先天性梅毒，有症状
1A60.5,晚期先天性梅毒，潜伏性
1A60.Z,先天性梅毒，未特指的
1A61.0,一期生殖器梅毒
1A61.1,一期肛门梅毒
1A61.2,一期其他部位梅毒
1A61.3,二期皮肤或黏膜梅毒
1A61.4,二期其他部位梅毒
1A61.5,早期潜伏性梅毒
1A61.Y,其他特指的早期梅毒
1A61.Z,早期梅毒，未特指的
1A62.00,无症状性神经梅毒
1A62.01,有症状性晚期神经梅毒
1A62.0Z,神经梅毒，未特指的
1A62.1,晚期心血管梅毒
1A62.20,晚期眼梅毒
1A62.21,晚期梅毒累及肌肉骨骼系统
1A62.22,晚期皮肤或黏膜梅毒
1A62.2Y,晚期其他特指部位梅毒，有症状
1A62.2Z,晚期其他部位梅毒，有症状，未特指的
1A62.Y,其他特指的晚期梅毒
1A62.Z,晚期梅毒，未特指的
1A63,隐性梅毒，未特指早期或晚期
1A6Z,梅毒，未特指的
1A70.00,阴茎淋病
1A70.0Y,其他特指的下泌尿生殖道淋病不伴尿道周围或邻近腺体脓肿
1A70.0Z,下泌尿生殖道淋病不伴尿道周围或邻近腺体脓肿，未特指的
1A70.1,下泌尿生殖道淋病伴尿道周围或邻近腺体脓肿
1A70.Y,其他特指泌尿生殖器官淋球菌感染
1A70.Z,泌尿生殖系淋球菌感染，未特指的
1A71,淋球菌性盆腔腹膜炎
1A72.0,肌肉骨骼系统淋球菌感染
1A72.1,直肠淋球菌感染
1A72.2,肛门淋球菌感染
1A72.3,淋菌性咽炎
1A72.4,眼淋球菌感染
1A72.Y,其他特指部位的淋球菌感染
1A72.Z,其他部位的淋球菌感染，未特指的
1A73,播散性淋球菌感染
1A7Z,淋球菌感染，未特指的
1A80,衣原体淋巴肉芽肿
1A81.0,下泌尿生殖道衣原体感染
1A81.1,内生殖器衣原体感染
1A81.Y,其他特指部位的非溃疡性性传播衣原体感染
1A81.Z,未特指部位的非溃疡性性传播衣原体感染
1A8Y,其他特指的衣原体引起的性传播感染
1A8Z,衣原体引起的性传播感染，未特指的
1A90,软下疳
1A91,腹股沟肉芽肿
1A92,毛滴虫病
1A93,性传播侵染
1A94.0,生殖器或泌尿生殖道单纯疱疹病毒感染
1A94.1,肛周皮肤或直肠单纯疱疹病毒感染
1A94.Z,肛门生殖器单纯疱疹病毒感染，无进一步说明
1A95.0,肛门疣
1A95.1,生殖器疣
1A95.2,外生殖器尖锐湿疣
1A9Y,其他特指的以性传播为主要途径的感染
1A9Z,以性传播为主要途径的感染，未特指的
1B10.0,呼吸道结核病，确诊病例
1B10.1,呼吸道结核病，未确诊病例
1B10.Z,呼吸道结核病，未提及细菌学或组织学证实
1B11.0,结核性脑膜炎
1B11.1,结核性脑膜脑炎
1B11.2,脑膜结核瘤
1B11.3,脑结核性肉芽肿
1B11.4,脑膜结核性肉芽肿
